LGACODE,LGA,Year,Deaths,Population
LGA15750,Narrabri (A),2012,108.05158,13527.155
LGA15750,Narrabri (A),2013,116.94582,13620.893
LGA15750,Narrabri (A),2014,110.5778,13665.945
LGA15800,Narrandera (A),2010,73.942241,6126.7578
LGA15800,Narrandera (A),2011,70.91318,6116.1921
LGA15800,Narrandera (A),2012,67.993452,6066.2062
LGA15800,Narrandera (A),2013,53.791869,6013.6197
LGA15800,Narrandera (A),2014,59.452937,5953.4505
LGA15850,Narromine (A),2010,64.115649,6807.1091
LGA15850,Narromine (A),2011,58.197281,6830.7826
LGA15850,Narromine (A),2012,59.183676,6859.388
LGA15850,Narromine (A),2013,52.278914,6867.2792
LGA15850,Narromine (A),2014,62.14286,6847.5513
LGA15900,Newcastle (C),2010,1295.512,153390.8
LGA15900,Newcastle (C),2011,1289.7154,155541.96
LGA15900,Newcastle (C),2012,1283.2534,157352.71
LGA15900,Newcastle (C),2013,1365.5132,158516.96
LGA15900,Newcastle (C),2014,1453.3275,159856.97
LGA15950,North Sydney (A),2010,246.93994,65860.226
LGA15950,North Sydney (A),2011,257.54677,66751.188
LGA15950,North Sydney (A),2012,269.14601,67903.992
LGA15950,North Sydney (A),2013,257.84639,69231.748
LGA15950,North Sydney (A),2014,258.74525,70998.114
LGA16100,Oberon (A),2010,29.175632,5197.4312
