"SSC","$1-$199 ($1-$10,399)","$200-$299 ($10,400-$15,599)","$300-$399 ($15,600-$20,799)","$400-$599 ($20,800-$31,199)","$600-$799 ($31,200-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,999 ($78,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,999 ($208,000-$259,999)","$5,000 or more ($260,000 or more)","Total",
"Yamba (NSW)",54,111,264,549,418,350,224,168,207,105,71,34,17,13,13,2598,
"Yanco",4,9,33,35,28,20,25,17,32,10,6,3,0,0,0,222,
"Yanderra",4,4,13,21,24,26,20,10,34,20,17,3,0,0,0,196,
"Yarrabar",3,3,4,3,7,11,3,14,10,8,15,5,0,3,0,89,
"Yarrahapinni",7,11,15,23,20,9,11,13,15,5,0,0,0,0,0,129,
"Yarramalong",0,7,7,7,10,9,15,13,22,17,15,14,3,0,3,142,
"Yarramundi",0,0,0,4,6,15,18,15,27,30,15,20,13,15,10,188,
"Yarranbella",3,5,13,19,18,11,13,5,10,3,3,0,0,0,0,103,
"Yarratt Forest",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Yarravel",3,12,21,55,34,33,35,35,33,25,16,5,3,0,6,316,
"Yarrawarrah",8,13,22,59,39,36,61,44,100,117,118,81,50,49,33,830,
"Yarrawonga (NSW)",0,7,26,31,19,19,14,16,11,9,4,3,0,0,0,159,
"Yarrawonga Park",3,3,9,12,12,16,18,11,19,9,8,5,0,0,0,125,
"Yarrie Lake",3,4,4,10,10,3,12,7,10,11,3,5,0,0,0,82,
"Yarrowitch",3,3,3,7,8,8,3,3,3,0,3,0,0,0,5,49,
"Yarrowyck",0,4,4,16,14,10,4,3,9,3,4,3,0,0,0,74,
"Yass",38,61,151,209,190,152,211,174,290,222,180,102,44,25,21,2070,
"Yass River",7,0,5,9,10,11,12,10,26,19,28,16,8,11,8,180,
"Yattalunga (NSW)",3,5,12,13,20,18,21,10,26,12,11,6,5,0,0,162,
"Yatte Yattah",0,3,6,6,7,13,10,6,6,10,3,0,0,0,0,70,
"Yellow Rock (Blue Mountains - NSW)",5,3,9,17,15,16,20,14,44,35,17,26,15,8,10,254,
"Yellow Rock (Shellharbour - NSW)",0,0,4,7,6,7,8,8,24,7,17,10,3,3,3,107,
"Yenda (NSW)",8,15,45,68,49,49,51,53,52,46,25,10,5,4,0,480,
"Yennora",15,48,68,58,47,24,24,26,39,17,15,11,3,0,3,398,
"Yeoval",3,11,20,30,13,24,7,15,4,6,0,0,0,0,0,133,
"Yerong Creek",0,5,14,17,14,23,18,14,13,8,7,7,4,0,0,144,
"Yerrinbool",4,16,15,42,29,28,37,30,42,32,21,11,9,0,3,319,
"Yetholme",3,0,0,6,11,6,3,4,12,4,13,3,3,3,0,71,
"Yetman",8,9,14,20,27,10,9,10,15,0,0,3,0,0,0,125,
"Yoogali",4,5,13,20,23,19,22,26,30,26,21,6,0,0,7,222,
"Yorklea",4,4,9,14,23,17,15,20,21,9,3,3,0,0,0,142,
"Young",82,154,393,529,445,367,294,256,361,180,131,69,16,11,24,3312,
"Yowie Bay",3,5,30,64,68,81,52,43,100,84,107,105,54,59,56,911,
"Yuraygir",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,
"Zetland",24,28,34,60,65,86,95,115,205,141,225,129,79,67,62,1415,
"Unclassified (NSW)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Abbotsford (Vic.)",25,68,77,111,91,101,128,104,209,151,218,131,74,82,81,1651,
"Aberfeldie",17,20,48,68,68,73,99,73,127,107,163,114,58,47,49,1131,
"Acheron",3,0,10,7,20,10,10,6,13,4,12,0,0,3,0,98,
"Aireys Inlet",9,8,22,21,28,32,19,22,24,14,17,5,9,3,0,233,
"Airport West",49,67,206,317,247,221,227,227,318,241,187,106,46,35,15,2509,
"Albanvale",42,56,103,191,184,163,183,122,176,117,57,35,14,11,0,1454,
"Albert Park (Vic.)",47,73,138,144,117,125,122,126,238,123,408,182,111,116,207,2277,
"Alberton (Vic.)",0,4,13,20,12,15,4,4,4,11,3,3,3,0,0,96,
"Albion (Vic.)",44,81,160,212,178,145,165,108,161,98,56,41,6,8,3,1466,
"Alexandra (Vic.)",19,44,117,154,119,109,92,94,112,79,25,21,4,5,0,994,
"Alfredton",23,41,120,204,203,194,190,210,358,249,192,105,33,36,19,2177,
"Allansford",4,12,25,34,44,33,34,47,63,49,27,16,7,3,7,405,
"Allendale",0,0,4,4,3,9,9,7,12,8,7,4,0,0,0,67,
"Alma (Vic.)",0,3,7,22,18,11,14,5,5,3,0,5,0,0,0,93,
"Alphington",29,47,82,107,98,99,111,96,190,154,190,153,78,65,58,1557,
"Altona (Vic.)",62,121,350,409,364,352,321,268,454,347,305,189,81,59,46,3728,
"Altona Meadows",120,170,342,586,569,546,637,629,847,642,389,235,84,64,38,5898,
"Altona North",112,153,386,517,378,330,318,271,368,263,192,125,51,36,24,3524,
"Amphitheatre",0,9,13,20,12,7,8,7,7,0,0,0,0,0,0,83,
"Anakie",3,4,12,17,22,20,12,25,26,16,20,10,0,0,3,190,
"Anglesea",22,33,70,103,100,113,73,68,94,52,65,30,9,0,9,841,
"Apollo Bay (Vic.)",7,11,48,73,55,49,45,35,43,27,11,3,0,0,0,407,
"Apsley (Vic.)",0,3,14,22,10,18,12,12,15,11,3,5,0,0,0,125,
"Ararat",51,104,299,434,396,305,272,230,283,200,116,47,12,3,9,2761,
"Arcadia (Vic.)",0,0,8,3,12,11,9,3,5,10,4,7,0,0,5,77,
"Ardeer",28,43,85,115,126,94,90,79,113,59,29,26,8,4,0,899,
"Ardmona",4,6,8,15,21,14,13,17,18,15,4,3,3,0,3,144,
"Armadale (Vic.)",64,83,160,225,216,234,264,274,408,264,518,269,143,122,216,3460,
"Arthurs Creek",3,3,6,4,10,11,16,14,17,16,18,3,5,3,0,129,
"Arthurs Seat",3,0,8,5,11,11,9,9,20,10,15,3,0,3,4,111,
"Ascot (Ballarat - Vic.)",7,3,6,13,6,11,9,15,16,12,5,3,3,0,0,109,
"Ascot (Greater Bendigo - Vic.)",6,7,12,31,37,41,42,36,70,64,43,15,3,6,4,417,
"Ascot Vale",116,236,365,391,330,301,331,315,527,433,533,334,180,187,126,4705,
"Ashbourne (Vic.)",5,0,0,6,14,8,0,0,9,10,7,8,5,0,6,78,
"Ashburton",44,75,155,187,143,157,145,138,195,188,336,226,128,95,101,2313,
"Ashwood",31,61,177,210,168,147,169,147,218,172,206,133,53,60,48,2000,
"Aspendale",21,45,124,174,181,146,181,173,276,258,234,158,71,50,32,2124,
"Aspendale Gardens",16,21,77,123,122,151,166,149,271,242,219,132,69,42,22,1822,
"Athlone",0,0,4,8,0,9,8,0,4,0,5,0,0,0,0,38,
"Attwood",7,14,28,55,51,65,71,70,154,131,103,56,35,36,16,892,
"Avalon (Vic.)",3,0,8,8,8,11,10,6,12,7,5,8,3,0,0,89,
"Avenel",11,8,28,40,34,34,47,37,38,21,17,5,0,3,5,328,
"Avoca (Vic.)",11,37,72,101,74,60,33,20,26,21,16,3,0,0,0,474,
"Avondale Heights",94,114,273,483,330,316,301,262,411,314,272,153,85,79,46,3533,
"Avonsleigh",0,6,6,16,20,23,24,16,36,26,20,15,3,0,0,211,
"Axe Creek",5,0,0,4,11,5,7,8,19,13,11,0,0,0,0,83,
"Axedale",0,5,13,15,22,23,17,19,31,19,10,11,3,0,0,188,
"Bacchus Marsh",35,92,212,296,221,221,198,155,237,177,126,70,31,28,10,2109,
"Baddaginnie",8,0,14,23,24,20,14,16,27,6,4,3,0,0,0,159,
"Badger Creek",12,22,45,99,67,75,78,57,72,51,27,14,5,6,6,636,
"Bagshot",0,0,8,8,4,4,13,15,15,13,4,5,0,0,0,89,
"Bailieston",3,12,15,14,18,8,17,0,10,7,3,3,0,0,0,110,
"Bairnsdale",59,162,368,487,374,295,274,218,247,139,79,46,8,10,18,2784,
"Bakery Hill",6,4,7,9,7,8,11,6,10,3,0,0,0,0,3,74,
"Balaclava (Vic.)",40,74,123,160,187,191,203,173,263,217,264,143,61,58,65,2222,
"Ballan",13,26,91,126,88,98,90,88,102,70,50,27,16,7,6,898,
"Ballarat Central",37,73,200,262,237,218,190,175,232,173,130,71,28,16,19,2061,
"Ballarat East",42,80,221,309,269,220,179,172,193,128,68,40,19,7,5,1952,
"Ballarat North",27,62,166,248,164,123,111,113,150,114,74,61,16,15,10,1454,
"Ballendella",4,0,3,6,6,6,8,10,13,9,3,4,0,0,0,72,
"Balliang",5,0,3,8,5,6,9,3,9,9,0,7,0,0,0,64,
"Balmattum",6,3,4,21,16,17,15,11,10,9,6,0,0,0,0,118,
"Balmoral (Vic.)",6,7,15,17,13,19,13,6,24,9,3,3,0,0,0,135,
"Balnarring",6,16,46,78,89,95,79,66,92,62,67,41,18,15,18,788,
"Balnarring Beach",0,4,5,21,9,15,9,8,18,12,12,4,3,0,3,123,
"Balwyn",100,82,261,318,302,314,304,323,428,329,523,296,176,167,213,4136,
"Balwyn North",108,93,272,460,390,395,420,384,647,529,809,548,295,281,293,5924,
"Bamawm",3,0,6,23,26,24,10,12,24,10,6,9,0,0,0,153,
"Bamawm Extension",0,0,6,13,21,12,20,12,12,10,4,9,0,0,0,119,
"Bandiana",0,9,10,5,12,5,16,16,17,23,7,0,0,0,0,120,
"Bangholme",5,18,81,138,43,35,9,10,9,8,17,3,0,3,0,379,
"Bannockburn (Vic.)",17,17,32,102,88,69,72,103,206,136,75,39,18,9,12,995,
"Baranduda",3,4,8,25,37,39,38,55,103,87,49,35,14,9,4,510,
"Baringhup",9,8,15,17,7,15,11,8,15,5,4,0,0,0,0,114,
"Barjarg",3,0,4,10,9,14,9,4,9,14,0,0,0,0,0,76,
"Barkers Creek",3,9,15,17,18,12,9,8,23,15,8,5,0,0,0,142,
"Barmah",3,7,18,17,14,7,8,3,0,0,0,0,0,0,0,77,
"Barnawartha",4,6,13,26,30,33,32,33,52,33,10,17,4,0,0,293,
"Barnawartha North",0,0,0,5,4,8,8,12,11,15,7,7,4,6,4,91,
"Barongarook",0,0,10,20,9,20,19,10,25,16,8,3,0,0,0,140,
"Barongarook West",4,6,13,8,7,8,7,5,10,9,12,0,0,0,3,92,
"Barrabool",0,0,0,5,7,3,3,0,6,3,9,11,3,0,0,50,
"Barwon Downs",4,5,14,20,21,7,7,11,23,9,3,3,0,0,0,127,
"Barwon Heads",20,33,59,96,88,79,104,97,162,124,133,57,17,21,15,1105,
"Bass",6,3,12,16,26,17,12,10,12,8,10,3,0,0,3,138,
"Batesford",3,3,3,4,12,14,17,12,25,21,16,21,8,14,3,176,
"Baw Baw (Vic.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Baw Baw Village",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Baxter",11,17,50,76,77,84,81,81,116,64,33,19,8,6,4,727,
"Bayles",3,5,7,19,9,15,24,14,12,19,4,9,0,0,0,140,
"Baynton (Vic.)",0,4,4,4,6,10,13,5,6,4,6,7,0,0,0,69,
"Bayswater (Vic.)",71,134,270,403,395,373,410,352,574,368,284,135,56,35,11,3871,
"Bayswater North",46,68,199,277,272,286,333,274,445,310,191,99,42,25,7,2874,
"Beaconsfield (Vic.)",12,35,57,107,145,150,143,140,285,231,191,124,54,47,37,1758,
"Beaconsfield Upper",11,10,18,32,54,55,43,64,117,93,108,68,30,30,23,756,
"Bealiba",6,7,11,23,20,9,6,4,11,5,4,0,0,0,0,106,
"Bearii",0,0,15,13,8,7,3,3,3,3,0,0,0,0,0,55,
"Beaufort (Vic.)",13,21,93,101,80,61,48,34,57,15,6,3,0,0,0,532,
"Beaumaris (Vic.)",45,58,171,290,269,285,265,251,427,316,668,370,219,199,203,4036,
"Beeac",7,9,11,11,11,14,9,0,3,7,0,0,0,0,0,82,
"Beech Forest",9,3,8,37,13,16,14,14,11,7,9,4,0,0,5,150,
"Beechworth",25,49,101,172,163,139,129,91,145,104,60,40,8,5,5,1236,
"Belgrave",13,34,58,81,118,101,133,129,195,140,117,69,28,16,9,1241,
"Belgrave Heights",3,8,14,32,35,25,38,29,68,47,46,31,9,7,4,396,
"Belgrave South",3,9,19,35,30,53,34,38,73,61,45,32,17,4,11,464,
"Bell Park",39,74,229,255,195,170,163,135,233,125,71,31,15,8,5,1748,
"Bell Post Hill",41,62,171,290,195,172,155,142,213,149,74,37,17,9,8,1735,
"Bellbrae",3,7,11,24,16,32,20,25,29,27,22,13,7,3,0,239,
"Bellbridge",3,0,6,12,12,23,10,10,20,13,5,3,3,0,0,120,
"Bellfield (Banyule - Vic.)",10,33,63,53,48,34,53,47,69,58,35,21,8,9,0,541,
"Bells Beach",0,0,0,3,6,3,0,3,3,5,7,5,4,0,4,43,
"Belmont (Vic.)",97,210,530,735,636,517,547,413,639,425,323,153,45,30,13,5313,
"Bemm River",10,9,19,22,14,16,10,4,6,4,0,3,0,0,0,117,
"Bena",0,3,11,12,15,8,3,9,14,4,3,0,0,0,0,82,
"Benalla",90,170,467,645,550,390,373,286,394,255,128,56,22,17,21,3864,
"Benambra",3,3,10,14,16,12,10,3,8,0,3,3,0,0,0,85,
"Bend Of Islands",6,6,3,9,3,8,3,15,17,10,6,0,3,0,0,89,
"Bendigo",37,102,221,321,248,197,219,170,227,160,146,79,26,23,23,2199,
"Bendoc",0,15,26,29,19,10,7,6,14,0,4,0,0,0,0,130,
"Bentleigh",87,118,299,450,343,374,368,340,598,454,565,371,195,178,146,4886,
"Bentleigh East",151,202,516,816,694,677,686,629,1113,835,860,557,288,243,152,8419,
"Beremboke",0,3,11,6,17,4,10,13,19,10,12,6,0,0,0,111,
"Berringa",8,4,23,31,34,20,13,14,7,3,5,4,0,0,0,166,
"Berriwillock",0,4,15,13,11,20,12,8,13,5,0,0,0,0,0,101,
"Berwick",133,186,563,1002,945,1068,1185,1158,2034,1747,1386,840,354,298,205,13104,
"Bessiebelle",0,0,3,5,3,8,9,5,12,8,3,0,0,0,0,56,
"Bet Bet",3,8,19,47,26,18,26,12,9,3,0,3,0,0,0,174,
"Bete Bolong",0,6,5,10,6,6,6,4,8,11,4,0,0,0,0,66,
"Bethanga",3,4,13,27,15,16,19,16,17,17,4,8,7,0,3,169,
"Beulah (Vic.)",8,9,35,27,29,28,11,15,24,9,8,13,0,0,8,224,
"Beverford",0,0,9,13,8,24,12,10,10,13,8,3,0,0,0,110,
"Beveridge",3,0,3,24,25,14,22,20,38,38,16,14,4,9,0,230,
"Big Desert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Big Hill (Greater Bendigo - Vic.)",0,6,31,33,21,20,6,3,11,7,7,4,0,4,0,153,
"Binginwarri",0,3,11,9,13,13,12,8,6,4,5,0,0,0,0,84,
"Birchip",5,14,33,41,35,19,28,18,26,11,8,0,0,0,0,238,
"Birdwoodton",6,3,3,19,24,15,18,24,26,12,13,8,0,0,0,171,
"Birregurra",3,9,21,32,40,31,30,15,36,20,19,3,0,0,0,259,
"Bittern",14,20,50,96,106,99,102,110,159,100,79,39,16,15,11,1016,
"Black Hill (Vic.)",18,26,56,107,85,76,81,63,85,51,52,21,13,12,8,754,
"Black Rock (Vic.)",25,26,104,158,141,172,139,131,207,183,291,163,102,79,91,2012,
"Blackburn",44,99,223,353,325,358,338,321,489,394,505,328,154,130,104,4165,
"Blackburn North",38,49,147,247,219,186,198,185,290,239,223,143,53,48,33,2298,
"Blackburn South",56,92,251,426,299,259,284,225,404,337,339,215,111,76,52,3426,
"Blackwood (Vic.)",3,11,11,19,13,12,6,17,13,6,5,3,0,0,0,119,
"Blairgowrie",18,16,83,136,101,93,68,68,85,54,47,19,9,9,7,813,
"Blampied",0,0,0,9,10,3,9,10,3,9,4,0,0,0,0,57,
"Blind Bight",5,6,13,26,20,41,41,40,74,58,21,16,0,3,4,368,
"Boisdale",3,6,15,10,17,22,17,18,23,10,3,3,0,0,0,147,
"Bolwarra (Vic.)",4,3,18,32,25,38,36,23,34,31,14,5,0,3,0,266,
"Bonbeach",27,71,194,241,206,212,217,156,292,211,174,103,46,29,17,2196,
"Bonegilla",4,4,7,3,6,6,10,12,13,7,3,9,0,0,0,84,
"Boneo",0,3,7,11,13,7,13,9,17,21,3,4,4,0,0,112,
"Bonnie Doon (Vic.)",3,8,22,28,25,18,23,13,14,7,7,6,0,0,0,174,
"Bonshaw (Vic.)",4,0,0,4,4,4,9,0,10,5,4,0,0,0,5,49,
"Bookaar",3,0,7,5,3,6,5,3,9,4,3,0,0,0,0,48,
"Boolarra",13,18,32,49,38,39,31,24,44,25,23,6,4,0,0,346,
"Boolarra South",0,0,5,4,10,3,15,12,3,4,3,3,0,0,0,62,
"Boole Poole",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Boorcan",6,4,0,11,5,17,7,8,16,14,11,6,3,0,0,108,
"Boorhaman",3,0,3,11,5,8,11,8,10,5,0,3,0,3,0,70,
"Boort",11,20,39,66,51,55,50,30,31,17,8,8,0,4,0,390,
"Boronia",103,199,562,726,774,730,804,678,1094,736,496,216,111,49,26,7304,
"Bostocks Creek",0,4,4,4,5,9,7,0,14,11,0,0,0,4,0,62,
"Botanic Ridge",3,3,7,14,19,22,35,46,109,93,77,54,14,14,0,510,
"Boundary Bend",0,0,9,16,7,17,12,7,9,4,0,0,0,0,0,81,
"Bowenvale",6,0,8,22,18,14,15,10,9,3,3,0,0,0,0,108,
"Box Hill (Vic.)",98,124,245,318,321,277,311,252,353,241,228,153,70,46,41,3078,
"Box Hill North",99,103,249,375,370,311,320,293,460,322,358,205,94,80,41,3680,
"Box Hill South",52,87,201,255,216,188,190,175,297,227,272,192,71,75,38,2536,
"Braeside",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Branxholme",0,3,12,17,13,13,13,10,12,17,4,8,3,0,0,125,
"Braybrook",86,178,245,327,287,218,221,186,211,168,82,44,25,24,10,2312,
"Breakwater",11,23,46,63,63,59,35,31,43,20,9,10,0,0,3,416,
"Breamlea",0,3,6,9,13,9,13,13,15,14,21,13,6,4,10,149,
"Briagolong",6,12,28,61,40,36,46,30,44,29,18,6,3,3,0,362,
"Briar Hill",21,22,42,100,97,111,108,88,169,123,102,52,31,26,3,1095,
"Bridgewater (Vic.)",0,0,6,0,6,11,7,10,15,8,0,0,3,0,0,66,
"Bridgewater On Loddon",3,5,14,27,22,16,14,5,5,11,3,0,0,0,0,125,
"Bright (Vic.)",26,24,95,139,114,103,80,66,80,47,30,13,4,9,11,841,
"Brighton (Vic.)",91,124,309,415,376,380,404,390,597,466,1207,613,350,331,615,6668,
"Brighton East",79,105,273,405,333,296,327,317,491,380,757,474,226,206,267,4936,
"Brim",3,3,11,13,7,16,18,9,9,0,3,0,0,0,0,92,
"Brimpaen",0,8,10,3,8,5,8,8,9,3,3,0,0,0,0,65,
"Broadford",21,45,95,169,155,137,141,129,183,99,58,33,9,9,3,1286,
"Broadmeadows (Vic.)",99,186,332,403,386,275,308,185,249,133,69,27,9,4,3,2668,
"Broadwater (Vic.)",3,0,0,3,5,11,3,6,14,3,3,0,0,0,5,56,
"Brookfield (Vic.)",20,37,63,174,153,166,173,183,287,230,138,67,34,22,17,1764,
"Brooklyn (Vic.)",21,25,56,65,59,57,63,40,70,53,36,23,11,6,7,592,
"Broomfield",5,3,12,16,15,19,9,13,7,13,7,0,0,0,0,119,
"Brown Hill (Vic.)",17,41,82,138,111,98,104,104,145,100,60,34,17,5,10,1066,
"Brucknell",0,0,3,11,11,6,11,18,13,8,8,3,4,0,4,100,
"Brunswick (Vic.)",170,296,494,629,615,618,720,695,1100,804,900,536,263,242,154,8236,
"Brunswick East",76,100,204,267,220,236,247,251,391,339,343,220,119,92,78,3183,
"Brunswick West",102,195,353,459,429,447,497,436,618,430,419,261,136,121,71,4974,
"Bruthen",7,14,39,37,38,26,29,20,33,17,6,3,0,0,0,269,
"Buangor",5,8,9,15,12,7,10,4,7,5,4,6,0,0,0,92,
"Buchan",4,13,21,28,23,19,19,9,3,12,3,0,0,0,0,154,
"Budgeree",3,0,4,23,6,14,11,0,17,10,10,8,0,0,0,106,
"Buffalo",5,0,8,14,16,18,19,25,14,15,6,8,3,0,0,151,
"Buffalo River",7,10,10,25,18,12,15,9,17,20,8,5,0,0,4,160,
"Bulart",0,3,0,4,8,9,3,4,7,6,6,4,0,0,0,54,
"Bulla (Vic.)",4,0,11,12,16,16,14,22,25,21,16,3,11,3,0,174,
"Bulleen",85,84,222,423,308,354,303,257,413,296,321,227,94,95,79,3561,
"Bullengarook",3,0,0,11,15,10,16,13,24,20,34,11,0,3,4,164,
"Bullioh",0,6,8,9,10,8,5,7,11,0,3,0,0,0,0,67,
"Buln Buln",3,0,9,14,14,20,19,12,20,26,12,10,3,3,3,168,
"Buln Buln East",0,0,5,8,4,4,13,3,3,4,7,7,0,0,0,58,
"Bunbartha",3,0,5,18,7,16,7,11,21,20,12,9,0,0,3,132,
"Bundalaguah",0,7,9,9,4,15,11,6,15,10,7,3,3,0,0,99,
"Bundalong",4,7,12,15,21,22,17,21,25,24,12,7,3,0,0,190,
"Bundoora (Vic.)",146,209,410,770,696,692,674,617,1032,750,540,349,176,147,76,7284,
"Bungaree (Vic.)",0,0,6,14,13,10,18,16,17,4,16,3,0,0,0,117,
"Buninyong",17,20,63,92,88,105,109,89,140,116,98,49,24,24,12,1046,
"Bunkers Hill",0,3,3,8,10,7,9,8,14,6,3,0,3,3,0,77,
"Bunyip",5,16,51,70,75,44,55,83,106,67,40,24,5,5,3,649,
"Burnley",3,11,9,14,22,14,28,21,52,27,49,28,19,22,10,329,
"Burnside (Vic.)",19,29,70,120,130,123,103,105,192,139,83,46,27,12,10,1208,
"Burnside Heights",14,15,18,72,95,93,145,146,256,239,131,72,29,23,13,1361,
"Burramine",7,3,8,13,17,9,15,8,15,9,9,5,0,0,0,118,
"Burrumbeet",4,5,12,22,12,7,6,0,10,9,3,3,0,0,0,93,
"Burwood (Vic.)",106,158,336,455,352,337,319,292,463,286,373,222,122,95,89,4005,
"Burwood East",82,71,203,381,356,275,253,256,383,290,276,180,81,65,42,3194,
"Bushfield",3,7,4,5,10,13,10,25,26,30,6,12,7,3,3,164,
"Buxton (Vic.)",0,8,4,14,12,8,8,10,7,6,4,0,0,0,0,81,
"Byaduk",0,3,0,19,6,6,12,14,13,13,5,3,3,3,4,104,
"Byawatha",3,3,3,8,6,8,5,7,14,8,3,0,0,0,0,68,
"Byrneside",6,5,5,6,13,12,11,6,13,10,7,0,0,0,0,94,
"Cabarita (Vic.)",0,3,5,15,12,16,11,12,23,19,13,7,3,0,0,139,
"Cairnlea",26,46,49,166,143,168,205,210,363,285,213,130,50,62,16,2132,
"Calder Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Caldermeade",3,0,3,10,8,5,11,14,10,5,3,0,0,0,0,72,
"California Gully",23,80,175,273,207,178,142,134,156,77,32,17,3,0,0,1497,
"Calivil",0,5,7,25,14,15,5,5,15,9,3,0,0,0,0,103,
"Callignee",0,3,4,10,11,8,7,9,26,7,15,5,0,4,0,109,
"Calulu",3,5,3,14,15,15,19,8,10,8,3,0,0,0,0,103,
"Camberwell (Vic.)",78,103,252,349,336,386,348,354,647,486,904,646,372,333,450,6044,
"Cambrian Hill",0,0,3,6,10,9,13,13,26,13,3,8,4,0,0,108,
"Campbellfield",47,54,123,266,229,154,149,120,137,69,45,24,8,9,7,1441,
"Campbells Creek",12,19,43,53,55,50,54,56,59,36,23,8,0,0,0,468,
"Camperdown (Vic.)",22,51,152,223,167,138,116,127,114,74,45,18,8,7,4,1266,
"Canadian",15,40,69,122,107,116,134,93,163,106,59,37,11,5,3,1080,
"Cann River",4,14,5,9,13,11,5,3,6,0,0,0,0,0,0,70,
"Cannons Creek",3,4,4,17,20,28,26,6,28,19,18,6,7,0,0,186,
"Canterbury (Vic.)",30,40,89,162,109,125,127,128,230,169,357,259,143,158,223,2349,
"Cape Bridgewater",0,0,4,6,6,10,0,8,11,13,10,3,0,0,0,71,
"Cape Paterson",8,5,26,33,34,32,30,30,42,21,65,7,0,5,9,347,
"Cape Schanck",3,0,3,10,6,9,18,12,17,19,13,3,0,0,3,116,
"Cape Woolamai",8,14,34,61,51,47,55,50,71,38,47,12,8,0,9,505,
"Caramut",3,6,13,18,13,13,16,5,13,5,3,0,3,0,0,111,
"Carapooee",3,16,12,27,20,16,10,15,3,7,4,3,0,0,0,136,
"Carboor",0,0,4,3,13,16,3,9,10,0,4,0,0,0,0,62,
"Cardigan",0,3,3,10,8,10,10,24,37,30,11,6,5,4,8,169,
"Cardigan Village",3,3,3,11,12,15,10,24,25,26,13,6,3,0,0,154,
"Cardinia",6,3,5,10,10,16,8,17,18,13,8,7,0,0,3,124,
"Cardross",6,4,16,31,12,28,29,24,35,29,10,5,0,3,0,232,
"Carisbrook",3,18,46,54,49,52,34,42,34,20,5,8,0,0,4,369,
"Carlsruhe",0,4,4,14,15,9,10,16,22,11,16,8,0,0,8,137,
"Carlton (Vic.)",368,317,311,443,393,350,353,266,400,271,375,164,113,79,87,4290,
"Carlton North",44,34,121,125,166,154,197,160,283,232,334,193,102,101,95,2341,
"Carnegie",105,171,396,591,504,560,560,553,759,493,578,402,164,144,119,6099,
"Carngham",6,3,7,17,12,15,18,11,14,13,9,3,0,0,0,128,
"Caroline Springs",66,87,127,277,369,402,583,599,1020,879,672,351,152,97,56,5737,
"Carrajung",4,3,6,10,13,8,9,3,13,6,4,0,0,0,0,79,
"Carrum",29,60,118,140,127,126,126,120,170,152,95,58,15,13,12,1361,
"Carrum Downs",68,141,362,589,632,605,771,663,997,618,320,118,53,36,18,5991,
"Castella",3,0,10,8,15,7,13,7,16,15,9,5,0,0,0,108,
"Casterton",19,35,103,133,74,67,57,47,52,21,14,9,3,3,3,640,
"Castle Donnington",5,0,5,8,10,11,7,0,4,6,0,0,0,0,0,56,
"Castlemaine",49,128,367,461,349,281,249,211,244,135,108,41,16,19,13,2671,
"Catani",0,0,6,6,5,14,11,5,10,8,5,0,0,0,3,73,
"Cathcart (Vic.)",0,6,0,6,6,9,11,15,12,12,3,3,3,0,0,86,
"Caulfield",30,48,98,135,148,132,128,141,184,128,187,127,56,66,56,1664,
"Caulfield East",13,20,23,44,27,32,34,34,49,35,43,30,16,8,13,421,
"Caulfield North",95,125,234,302,290,334,373,334,555,416,635,385,225,218,292,4813,
"Caulfield South",57,96,194,288,271,272,263,268,381,294,468,346,171,161,159,3689,
"Cavendish",0,4,11,14,9,19,15,14,18,10,0,8,5,0,0,127,
"Ceres",0,0,0,3,11,4,5,3,4,3,12,8,0,3,3,59,
"Chadstone",64,87,209,252,208,207,231,193,334,225,207,173,68,62,29,2549,
"Charlton (Vic.)",15,20,55,101,57,53,41,38,41,16,16,11,3,0,3,470,
"Chelsea",59,109,308,347,281,250,275,220,325,266,215,111,26,37,10,2839,
"Chelsea Heights",16,37,89,143,149,168,173,145,262,193,140,76,23,16,8,1638,
"Cheltenham (Vic.)",120,173,543,821,630,635,614,534,888,648,674,429,167,126,83,7085,
"Chepstowe",0,4,4,13,3,3,5,7,9,0,4,0,0,0,0,52,
"Cheshunt",10,5,10,17,16,9,8,8,3,7,0,0,0,0,0,93,
"Chewton",6,18,59,48,43,49,35,43,26,15,18,0,3,0,0,363,
"Childers (Vic.)",0,3,6,5,3,5,3,4,3,3,8,3,0,0,0,46,
